concept,organization,country,year,area_ha_min,area_ha_max,crown_cover_min,crown_cover_max,height_m_min,height_m_max,width_m_min,width_m_max,definition_snippet
"basic terms, forest/forest land, national, land use",,Lithuania,2010,0.1,,,,,,,,"Forest land NFI is: a land area not less than 0.1 ha in size covered with trees, the height of which in a natural site in the maturity age is not less than 5 m, other forest plants as well as thinned or vegetation lost forest due to the acts of nature or human activities (cutting areas, burnt areas,"
"basic terms, forest/forest land, national, land use",,Lithuania,,0.1,,,,,,,,"A tract of land not less than 0.1 ha, covered with trees or other forest vegetation or temporarily without it (cleared or burned areas). Not considered a forest: Clusters of trees situated in fields, by roadsides, water bodies, within towns or rural settlements as well as cemeteries, narrow - up to "
"basic terms, forest/forest land, national, land use",,Lithuania,,1.0,,,,,,,,"land area, no less than 0,1 ha, covered by trees and other forest plants or temporarily has lost them (clear-cut and burnt areas). Narrow belts up to 10 m, small groups and single trees in villages and towns, also artificially established parks are not forests. In forest inventory we use such a rest"
"basic terms, forest/forest land, national, land use",,Luxembourg,,5.0,,,,,,,,"Terres représentant un couvert forestier (ou peuplement équivalent) de plus de 10 % et une superficie supérieure à 0,5 ha. Les arbres doivent pouvoir atteindre une hauteur abattable minimale de 5 mètres. Ces forêts peuvent comprendre soit des formations forestières denses dont les divers étages et l"
"basic terms, forest/forest land, national, land use",,Mexico,2014,50.0,,,,4.0,,,,"In the LGDFS, the definition of “forest land” comprises all lands covered by “forest vegetation”, and “forest vegetation” is defined as ""the set of plants and fungi that grow and develop naturally, forming temperate forests, tropical forests, arid and semi-arid areas, and other ecosystems."" Accordin"
"basic terms, forest/forest land, national, land use",,Nepal,2002,1.0,,,,,,,,Area where trees with well-defined stems are growing and crown coverage is more than 10 per cent. Area must not be used primarily for uses other than forestry (widely understood) and must be at least 100 m wide. Area can include treeless patches not wider than 25 m and not exceeding 1 hectare. per c
"basic terms, forest/forest land, national, land use",KP,Netherlands,2006,5.0,,20.0,,5.0,,,,Use Min. Area (ha) = 0.5 Min. Crown Cover (%) = 20 Min. Tree Height (m) = 5 Min. Strip Width (m) = 30 May consist either of closed forest formations where trees of various storeys and undergrowth cover a high proportion of the ground; or of open forest formations with a continuous vegetation cover i
"basic terms, forest/forest land, national, land use",,New Zealand,2006,0.5,,30.0,,5.0,,,,"Use Min. Area (ha) = 5 Min. Crown Cover (%) = 20 Min. Tree Height (m) = 6 Min. Strip Width (m) = ns ""Tree"" includes not only timber trees- but also all other kinds of trees- shrubs- and bushes- seedlings- saplings- cuttings- suckers- and shoots of every description. lists the minimum area of 0.5 ha."
"basic terms, forest/forest land, national, land use",,New Zealand,2011,1.0,,,,,,,,"Forest land: (a) means an area of land of at least 1 hectare that has, or is likely to have, tree crown cover from forest species of more than 30 percent in each hectare; and (b) includes an area of land that temporarily does not meet the requirements specified in paragraph (a) because of human inte"
"basic terms, forest/forest land, national, land use",,New Zealand,,,,30.0,,,,,,A minimum area of land of one hectare with tree crown cover (or equivalent stocking level) of more than 30 per cent with trees with the potential to reach a minimum height of five metres at maturity in situ. This category includes all land with woody vegetation consistent with thresholds used to def
"basic terms, forest/forest land, national, land use",,Norway,1992,0.5,,,,,,,,"Forest is Land spanning more than 0.5 ha with trees higher than 5 m and a canopy cover of more than 10%, or trees able to reach these thresholds in situ. It does not include land that is predominantly under agricultural or urban land use. Productive forest area: Forest area that under favourable sta"
"basic terms, forest/forest land, national, land use",,Paraguay,2015,1.0,,,,,,,,"En Paraguay, a los efectos de REDD+ el bosque nativo es un ecosistema natural con diversidad biológica, intervenido o no, regenerado y/o restaurado por sucesión natural o técnicas forestales de enriquecimiento con especies nativas, que produce bienes, provee servicios ambientales y sociales, cuya su"
"basic terms, forest/forest land, national, land use",,Poland,1997,0.1,,,,,,,,"A ground covered with a forest vegetation, of area above 0.1 ha; it includes forest grounds, temporarily deprived of forest vegetation, and grounds related to forestry (forest roads, nurseries, etc.). (European Communities 1997b - p. 1251). Forest roads, nurseries, etc. excluded. For FRA 2000 - Sour"
"basic terms, forest/forest land, national, land use",,Poland,2010,0.1,,,,,,,,"1) Land covered with forest vegetation, of area above 0.1 ha; it includes forest grounds temporarily deprived of forest vegetation, and (2) Lands related to forestry (forest roads, nurseries etc.) (FAO 2010"
"basic terms, forest/forest land, national, land use",KP,Oman,2007,0.5,,,,,,20.0,,"Use Min. Area (ha) = 0.25 Min. Crown Cover (%) = 10 Min. Tree Height (m) = 5 Min. Strip Width (m) = ns (2007) includes also: forest nurseries, trees genetic trials within the forest land, forest pathways and roads, meadows, glades and other forest gaps, forest ecosystems within the national and natu"
"basic terms, forest/forest land, national, land use",&,Montenegro,,0.5,,,,,,,,"A forest is a forest area exceeding 0.5 ha. Hedgerows, municipal parks, forest nurseries and groups of trees on areas smaller then 0.5 ha are not considered forests. Plantations are forests raised from selected plant sources with intensive high yield measures (short rotation). Unstocked forest land "
"basic terms, forest/forest land, national, land use",,Serbia,2010,0.01,,,,,,,,The inventory uses the definition of FRA FAO. A national definition is given in the FRA 2010 country report: A forest is every area over 5 are covered with forest trees in the form of stands having a protective function but is used for production of forest assortments or has a special purpose. Tree 
"basic terms, forest/forest land, national, land use",,Slovakia,,0.3,,20.0,,5.0,,20.0,,"Forest Land includes: land with minimum tree crown cover of 20 % for trees capable to reach minimum height of 5 m in situ. The minimum area for forest is 0.3 ha. Temporarily unstocked areas are included (forest regeneration areas). For linear formations, a minimum width of 20 m is applied"
"basic terms, forest/forest land, national, land use",,Slovenia,1993,0.05,,,,,,,,"The term “forest” is defined also by the Law on Forests of Slovenia (Official Journal of the Republic of Slovenia, nr. 30/1993). Article two states: .... “A forest is an area of land, covered with forest trees in the form of stands or other forest growths which provide any of the functions of a fore"
"basic terms, forest/forest land, national, land use",,Slovenia,2011,0.25,,,,,,,,"The national forest inventory defines forest as: (a) A plot of land overgrown with forest trees in the form of stands, which can reach a height of at least 5 m and sized to at least 0.25 ha (b) A plot of agricultural land in transition to forest land sized to at least 0.25 ha that has not been used "
"basic terms, forest/forest land, national, land use",,Spain,1998,0.25,,,,7.0,,,,"Forest-tree lands. All lands with a forest-tree cover, at maturity, ""in situ, of more than 5% of the area, which is able to reach a minimum height of 7 m and to produce wood. Minimum area is 0.25 ha. Excludes wood lots and isolated tree groups with areas under 0.25 ha. Forest lands are divided into "
"basic terms, forest/forest land, national, land use",,Sweden,1997,0.25,,,,,,,,"Land suitable for forest production, not used for other purposes, and with an average production higher than (or equal to) 1 m3 per hectare and year during a period of 100 years. The minimum area is 0.25 ha. (European Communities 1997b - p. 983"
"basic terms, forest/forest land, national, land use",,Sweden,2009,,,,,5.0,,,,"Types of land under the Forestry Act Determined for the traditional types of land in productive forest, bog, mountain pine forests and other land. Forest land: Land bearing forest or without measures to increase production has the potential to bear forest with a height of 5 m and with a crown cover "
"basic terms, forest/forest land, national, land use","Taiwan, ROC",,,0.5,,,,,,,,"the land that is at least 0.5 hectare in size with at least 10% of the area covered with tree crowns or commercial bamboo, the forest belt beside road or river is at least 50 meters wide. The road, river, other water area or open lands in forest is less than 20 meters wide. The open land over than 0"
"basic terms, forest/forest land, national, land use",Tanzania,,2002,,,10.0,,,,,,"''forest'' means an area of land with at leas 10% tree crown cover, naturally grown or planted and or 50% or more shrub and tree regeneration cover and includes all forest reserves of whatever kind declared or gazetted under this Act and all plantations"
"basic terms, forest/forest land, national, land use",Tanzania,,2016,0.5,,10.0,,,,,,"Forest in this NFP means a land area of more than 0.5 ha, crown cover of 10%, trees of at least 2.5 m height, which is not primarily under agricultural or other specific non-forest land use. In line with the Constitution, the NFP also operates with “tree cover”, e.g. trees on farms"
"basic terms, forest/forest land, national, land use",Turkey,,1956,3.0,,,,,,,,"According to the Turkey's Forest Law in force, the community of trees, and shrubs grown naturally or artificially, together with the area they occupy, are considered as forest. According to Paragraph 20 of the Regulations still in force: a) The trees are the plants of at least 8 m., or more height, "
